1/29/2019/0:0:0,Mmeh,-16777216
1/29/2019/0:0:0,Test,-16777216
2/5/2019/0:0:0,Test,-16777216
2/12/2019/0:0:0,Test,-16777216
2/19/2019/0:0:0,Test,-16777216
2/26/2019/0:0:0,Test,-16777216
3/5/2019/0:0:0,Test,-16777216
3/12/2019/0:0:0,Test,-16777216
3/19/2019/0:0:0,Test,-16777216
3/26/2019/0:0:0,Test,-16777216
4/2/2019/0:0:0,Test,-16777216
4/9/2019/0:0:0,Test,-16777216
4/16/2019/0:0:0,Test,-16777216
4/23/2019/0:0:0,Test,-16777216
4/30/2019/0:0:0,Test,-16777216
5/7/2019/0:0:0,Test,-16777216
5/14/2019/0:0:0,Test,-16777216
5/21/2019/0:0:0,Test,-16777216
5/28/2019/0:0:0,Test,-16777216
6/4/2019/0:0:0,Test,-16777216
6/11/2019/0:0:0,Test,-16777216
6/18/2019/0:0:0,Test,-16777216
6/25/2019/0:0:0,Test,-16777216
7/2/2019/0:0:0,Test,-16777216
7/9/2019/0:0:0,Test,-16777216
7/16/2019/0:0:0,Test,-16777216
7/23/2019/0:0:0,Test,-16777216
7/30/2019/0:0:0,Test,-16777216
8/6/2019/0:0:0,Test,-16777216
8/13/2019/0:0:0,Test,-16777216
8/20/2019/0:0:0,Test,-16777216
8/27/2019/0:0:0,Test,-16777216
9/3/2019/0:0:0,Test,-16777216
9/10/2019/0:0:0,Test,-16777216
9/17/2019/0:0:0,Test,-16777216
9/24/2019/0:0:0,Test,-16777216
10/1/2019/0:0:0,Test,-16777216
10/8/2019/0:0:0,Test,-16777216
10/15/2019/0:0:0,Test,-16777216
10/22/2019/0:0:0,Test,-16777216
10/29/2019/0:0:0,Test,-16777216
11/5/2019/0:0:0,Test,-16777216
11/12/2019/0:0:0,Test,-16777216
11/19/2019/0:0:0,Test,-16777216
11/26/2019/0:0:0,Test,-16777216
12/3/2019/0:0:0,Test,-16777216
12/10/2019/0:0:0,Test,-16777216
12/17/2019/0:0:0,Test,-16777216
12/24/2019/0:0:0,Test,-16777216
12/31/2019/0:0:0,Test,-16777216
1/7/2020/0:0:0,Test,-16777216
1/14/2020/0:0:0,Test,-16777216
1/21/2020/0:0:0,Test,-16777216
1/28/2020/0:0:0,Test,-16777216
2/4/2020/0:0:0,Test,-16777216
2/11/2020/0:0:0,Test,-16777216
2/18/2020/0:0:0,Test,-16777216
2/25/2020/0:0:0,Test,-16777216
3/3/2020/0:0:0,Test,-16777216
3/10/2020/0:0:0,Test,-16777216
3/17/2020/0:0:0,Test,-16777216
